AICM Control ID,Control Domain,Control Title,Control Type,Relevance,AegisGate Features,Implementation Evidence
GRC-07,"Governance, Risk and Compliance - GRC",Information System Regulatory Mapping,Cloud & AI Related,full,compliance,"Regulatory mapping: 31 frameworks with automated cross-mapping (pkg/compliance/framework_mapping.go — 73KB, 1,398-line engine; pkg/compliance/framework_registration.go — 31 registerIntoRegistry calls) maps controls across HIPAA, PCI, GDPR, NIST AI RMF, ISO 42001, EU AI Act, SOC 2, CSA STAR, and 23 more frameworks."
GRC-08,"Governance, Risk and Compliance - GRC",Special Interest Groups,Cloud & AI Related,na,N/A,Special interest groups are an organizational structure
GRC-09,"Governance, Risk and Compliance - GRC",Acceptable Use of the AI Service,AI-Specific,full,mcp_guardrails; rbac; toolauth,"Acceptable use of AI service: guardrails (pkg/mcpserver/guardrails.go — rate/session/tool limits, stdio validation) enforce usage policies, RBAC (pkg/rbac/manager.go — 4 agent + 4 user roles) restricts agent capabilities, tool authorization (pkg/toolauth/matrix.go — RiskLevel with approval requirements) controls high-risk operations."
GRC-10,"Governance, Risk and Compliance - GRC",AI Impact Assessment,AI-Specific,full,compliance; scanner; ml; atlas,"AI impact assessment: detection pipeline (pkg/scanner/scanner.go — 216 patterns, pkg/atlas/detector.go — ATLAS, pkg/ml/detector.go — ML) assesses AI security impact; compliance frameworks (pkg/compliance/eu-ai-act/eu_ai_act.go, pkg/compliance/nist_ai_rmf/, pkg/compliance/iso42001/) include AI-specific impact assessment controls with CheckFunc implementations."
GRC-11,"Governance, Risk and Compliance - GRC",Bias and Fairness Assessment,AI-Specific,partial,scanner; ml; response_guard,"Ingress: L1 regex (pkg/scanner/patterns.go — atlas_bias_injection) detects bias injection attacks; L2 ATLAS (pkg/atlas/detector.go) catches bias manipulation; L3 ML (pkg/ml/training/augment.go — T1613.003 bias samples). Compliance: 5+ frameworks (pkg/compliance/eu-ai-act/, pkg/compliance/hitrust/, pkg/compliance/ffiec/, pkg/compliance/soc2/, pkg/compliance/nist_ai_rmf/) include bias controls with CheckFuncs. Egress: toxicity filter (pkg/response/toxicity_filter.go) covers harassment but not algorithmic bias — no dedicated fairness/bias detector in response guard."
GRC-12,"Governance, Risk and Compliance - GRC",Ethics Committee,AI-Specific,na,N/A,Ethics committee is an organizational governance structure
GRC-13,"Governance, Risk and Compliance - GRC",Explainability Requirement,AI-Specific,partial,evidence; audit; response_guard,"Every security decision records matched pattern, threat type, severity, block reason (pkg/response/types.go — ResponseScanResult.BlockReason, Threat slice). FrameworkRefCache (pkg/logging/framework_refs.go) auto-cross-references detections to MITRE ATLAS, NIST AI RMF, OWASP LLM, CWE, CVE. Signed evidence packages (pkg/evidence/builder.go — ECDSA P-256) bundle per-control pass/fail, reason, evidence, cross-framework mappings. Explains proxy decisions, not AI model reasoning."
GRC-14,"Governance, Risk and Compliance - GRC",Explainability Evaluation,AI-Specific,partial,evidence; reporting; compliance,"Compliance evidence packages (pkg/evidence/builder.go — ECDSA P-256 signed) include per-control ControlCheckResult (pkg/compliance/module.go — Message, Details, Remediation, Evidence, References). FrameworkAssessment produces Summary (pkg/compliance/module.go — compliant/non-compliant/partial counts, Score). Implements explainability controls for TSA-SD (pkg/audit/tsa.go), FFIEC (pkg/compliance/ffiec/), EU AI Act (pkg/compliance/eu-ai-act/). Evaluates explainability of the security proxy's decisions, not the underlying AI model's reasoning."
GRC-15,"Governance, Risk and Compliance - GRC",Human supervision,AI-Specific,full,rbac; toolauth; mcp_guardrails,"Human supervision: tool authorization (pkg/toolauth/matrix.go — RiskLevel with human approval requirement for high-risk operations), RBAC (pkg/rbac/manager.go — admin role for privileged actions), guardrails (pkg/mcpserver/guardrails.go) ensure human oversight of AI agent actions."
HRS-01,Human Resources - HRS,Background Screening Policy and Procedures,Cloud & AI Related,na,N/A,"Human resources controls (background checks, NDAs, training, termination) — organizational, not technical"
HRS-02,Human Resources - HRS,Acceptable Use of Technology Policy and Procedures,Cloud & AI Related,na,N/A,"Human resources controls (background checks, NDAs, training, termination) — organizational, not technical"
HRS-03,Human Resources - HRS,Clean Desk Policy and Procedures,Cloud & AI Related,na,N/A,"Human resources controls (background checks, NDAs, training, termination) — organizational, not technical"
HRS-04,Human Resources - HRS,Remote and Home Working Policy and Procedures,Cloud & AI Related,na,N/A,"Human resources controls (background checks, NDAs, training, termination) — organizational, not technical"
HRS-05,Human Resources - HRS,Asset returns,Cloud & AI Related,na,N/A,"Human resources controls (background checks, NDAs, training, termination) — organizational, not technical"
HRS-06,Human Resources - HRS,Employment Termination,Cloud & AI Related,na,N/A,"Human resources controls (background checks, NDAs, training, termination) — organizational, not technical"
HRS-07,Human Resources - HRS,Employment Agreement Process,Cloud & AI Related,na,N/A,"Human resources controls (background checks, NDAs, training, termination) — organizational, not technical"
HRS-08,Human Resources - HRS,Employment Agreement Content,Cloud & AI Related,na,N/A,"Human resources controls (background checks, NDAs, training, termination) — organizational, not technical"
HRS-09,Human Resources - HRS,Personnel Roles and Responsibilities,Cloud & AI Related,na,N/A,"Human resources controls (background checks, NDAs, training, termination) — organizational, not technical"
HRS-10,Human Resources - HRS,Non-Disclosure Agreements,Cloud & AI Related,na,N/A,"Human resources controls (background checks, NDAs, training, termination) — organizational, not technical"
HRS-11,Human Resources - HRS,Security Awareness Training,Cloud & AI Related,na,N/A,"Human resources controls (background checks, NDAs, training, termination) — organizational, not technical"
HRS-12,Human Resources - HRS,Personal and Sensitive Data Awareness and Training,Cloud & AI Related,na,N/A,"Human resources controls (background checks, NDAs, training, termination) — organizational, not technical"
HRS-13,Human Resources - HRS,Compliance User Responsibility,Cloud & AI Related,na,N/A,"Human resources controls (background checks, NDAs, training, termination) — organizational, not technical"
HRS-14,Human Resources - HRS,AI Competency Training,AI-Specific,na,N/A,"Human resources controls (background checks, NDAs, training, termination) — organizational, not technical"
HRS-15,Human Resources - HRS,AI Acceptable Use,AI-Specific,na,N/A,"Human resources controls (background checks, NDAs, training, termination) — organizational, not technical"
IAM-01,Identity & Access Management - IAM,Identity and Access Management Policy and Procedures,Cloud & AI Related,partial,rbac; sso,"IAM policy enforced through RBAC (pkg/rbac/manager.go — 4 agent + 4 user roles) and SSO (pkg/sso/manager.go — SAML 2.0, OIDC, JWKS key rotation). AegisGate implements technical access controls, not organizational IAM policy definition."
IAM-02,Identity & Access Management - IAM,Credentials Management Policy and Procedures,Cloud & AI Related,partial,sso; rbac,"Credentials management: SSO integration (pkg/sso/manager.go — SAML 2.0, OIDC, pkg/sso/jwks.go — JWKS key rotation) manages authentication; RBAC (pkg/rbac/manager.go) manages authorization. Does not manage credential lifecycle (issuance/rotation/revocation) — delegates to IdP via SSO."
IAM-03,Identity & Access Management - IAM,Identity Inventory,Cloud & AI Related,partial,rbac; tenant,"Identity inventory: RBAC (pkg/rbac/types.go — AgentRole and UserRole types) tracks agent and user identities; multi-tenancy (pkg/tenant/manager.go, pkg/tenant/postgres_manager.go) provides tenant-scoped identity management with PostgreSQL Row-Level Security (pkg/tenant/tenant_rls.go)."
IAM-04,Identity & Access Management - IAM,Separation of Duties,Cloud & AI Related,full,rbac; toolauth,Separation of duties: 4 agent roles + 4 user roles (pkg/rbac/types.go — restricted/standard/privileged/admin with numeric hierarchy levels) enforce SoD; tool authorization (pkg/toolauth/matrix.go — risk matrix with RiskLevel) prevents single-agent control of high-risk operations.
IAM-05,Identity & Access Management - IAM,Least Privilege,Cloud & AI Related,full,rbac; toolauth,Least privilege: agent roles (pkg/rbac/types.go — restricted→admin with numeric hierarchy) enforce minimum necessary access; tool authorization (pkg/toolauth/matrix.go) requires approval for high-risk tools; guardrails (pkg/mcpserver/guardrails.go) limit session/tool/rate capabilities.
IAM-06,Identity & Access Management - IAM,Access Provisioning,Cloud & AI Related,partial,rbac; sso,Access provisioning: RBAC (pkg/rbac/manager.go — role assignment) and SSO (pkg/sso/manager.go — SAML/OIDC authentication) provision access based on role assignment. Does not manage organizational onboarding workflows.
IAM-07,Identity & Access Management - IAM,Access Changes and Revocation,Cloud & AI Related,partial,rbac; sso,Access changes and revocation: RBAC (pkg/rbac/manager.go — role modification) and SSO (pkg/sso/manager.go — session management with refresh) handle access modifications; audit trail (pkg/audit/handler.go) records all access changes.
IAM-08,Identity & Access Management - IAM,Access Review,Cloud & AI Related,partial,audit; rbac,"Access review: audit trail (pkg/audit/handler.go — search, event lookup, user timelines) records all access decisions; RBAC (pkg/rbac/types.go — role assignments) are auditable; compliance scanning (pkg/compliance/module.go) validates access controls."
IAM-09,Identity & Access Management - IAM,Segregation of Privileged Access Roles,Cloud & AI Related,full,rbac; toolauth,Segregation of privileged access: distinct admin role (pkg/rbac/types.go — admin with highest hierarchy level) separate from standard; tool authorization (pkg/toolauth/matrix.go) separates approval authority from execution; RBAC middleware (pkg/rbac/middleware.go) enforces role checks.
IAM-10,Identity & Access Management - IAM,Management of Privileged Access Roles,Cloud & AI Related,full,rbac; toolauth,Management of privileged access: admin role (pkg/rbac/types.go — full access) with tool authorization (pkg/toolauth/matrix.go — privileged tool approval workflow); audit trail (pkg/audit/handler.go) records all privileged operations; RBAC middleware (pkg/rbac/middleware.go) enforces admin checks.
IAM-11,Identity & Access Management - IAM,Service Customers' Approval for Agreed Privileged Access Roles,Cloud & AI Related,na,N/A,Customer approval of privileged access roles is a contractual control
IAM-12,Identity & Access Management - IAM,Unique Identities,Cloud & AI Related,full,rbac; tenant,"Unique identities: each agent and user has unique identity within tenant (pkg/rbac/types.go — AgentRole, UserRole with unique IDs); multi-tenancy (pkg/tenant/manager.go with pkg/tenant/tenant_rls.go — PostgreSQL Row-Level Security) ensures tenant isolation."
IAM-13,Identity & Access Management - IAM,Strong Authentication,Cloud & AI Related,full,sso,"Strong authentication: SSO with SAML 2.0 and OIDC (pkg/sso/manager.go), JWKS for key rotation (pkg/sso/jwks.go), session management with refresh (pkg/sso/middleware.go). Does not implement MFA directly — relies on IdP for MFA via SSO protocols."
IAM-14,Identity & Access Management - IAM,Credentials Management,Cloud & AI Related,partial,sso; rbac,Credentials management: SSO (pkg/sso/manager.go — SAML/OIDC) handles credential lifecycle via identity provider; RBAC (pkg/rbac/manager.go) manages authorization credentials (role assignments). Does not store or manage passwords — delegates to IdP.
IAM-15,Identity & Access Management - IAM,Authorization Mechanisms,Cloud & AI Related,full,rbac; toolauth; policy_opa,"Authorization mechanisms: RBAC role checks (pkg/rbac/middleware.go), tool authorization risk scoring (pkg/toolauth/matrix.go — RiskLevel with approval requirements), OPA/Rego policy engine (pkg/compliance/policy_opa.go) — multi-layer authorization."
IAM-16,Identity & Access Management - IAM,Knowledge Access Control - Need to Know,Cloud & AI Related,full,rbac; toolauth,Need-to-know: RBAC role restrictions (pkg/rbac/types.go — hierarchy levels limit access) and tool authorization parameter constraints (pkg/toolauth/matrix.go) enforce knowledge-based access control; guardrails (pkg/mcpserver/guardrails.go) limit tool exposure.
IAM-17,Identity & Access Management - IAM,Output Modification and Special Authorization,AI-Specific,full,response_guard; toolauth,Output modification and special authorization: response guard (pkg/response/guard.go) controls output content (PII/secrets/toxicity filtering); tool authorization (pkg/toolauth/matrix.go) requires special approval for high-risk operations that could modify outputs.
IAM-18,Identity & Access Management - IAM,Agent Access Restriction,Cloud & AI Related,full,rbac; toolauth; mcp_guardrails,"Agent access restriction: 4 agent roles (pkg/rbac/types.go — restricted/standard/privileged/admin), tool authorization risk matrix (pkg/toolauth/matrix.go — RiskLevel with approval), guardrails (pkg/mcpserver/guardrails.go — session/tool/rate limits) provide comprehensive agent access control."
IPY-01,Interoperability & Portability - IPY,Interoperability and Portability Policy and Procedures,Cloud & AI Related,na,N/A,Interoperability policy is organizational
IPY-02,Interoperability & Portability - IPY,Application Interface Availability,Cloud & AI Related,full,scanner; mcp_guardrails; a2a_guard; acp_guard; anp_guard,"Application interface availability: proxy supports 5 AI protocols — MCP (pkg/mcpserver/), A2A (pkg/a2a/middleware.go), ACP (pkg/acp/acp_guard.go), ANP (pkg/anp/guard.go), HTTP — with guardrails on each protocol; response guards (pkg/a2a/a2a_response_guard.go, pkg/acp/acp_guard.go, pkg/anp/guard.go) for each."
IPY-03,Interoperability & Portability - IPY,Secure Interoperability and Portability Management,Cloud & AI Related,partial,sigverify; attestation,"Secure interoperability: MCP signature verification (pkg/signature_verification/mcp_verifier.go) and attestation envelopes (pkg/attestation/attestation.go — ECDSA P-256, tamper-evident) secure cross-protocol interactions; AIBOM (pkg/aibom/generator.go) documents protocol inventory."
IPY-04,Interoperability & Portability - IPY,Data Portability Contractual Obligations,Cloud-Specific,na,N/A,Data portability contractual obligations are legal/contractual
I&S-01,Infrastructure Security - I&S,Infrastructure and Virtualization Security Policy and Procedures,Cloud & AI Related,partial,mcp_guardrails; rbac,"Infrastructure security policy enforced through guardrails (pkg/mcpserver/guardrails.go — rate/session/tool limits) and proxy inspection (pkg/scanner/scanner.go); AegisGate is a security proxy, not infrastructure provider. Does not define org-level infrastructure security policies."
I&S-02,Infrastructure Security - I&S,Capacity and Resource Planning,Cloud & AI Related,na,N/A,Capacity and resource planning is an operational control
I&S-03,Infrastructure Security - I&S,Network Security,Cloud & AI Related,partial,scanner; mcp_guardrails,Network security: proxy (pkg/scanner/scanner.go) inspects all AI protocol traffic (MCP/A2A/ACP/ANP/HTTP); guardrails (pkg/mcpserver/guardrails.go) enforce rate limits preventing DoS; anomaly detection (pkg/anomaly/scorer.go) identifies network-level threats.
I&S-04,Infrastructure Security - I&S,OS Hardening and Base Controls,Cloud & AI Related,na,N/A,OS hardening is an infrastructure control
I&S-05,Infrastructure Security - I&S,Production and Non-Production Environments,Cloud & AI Related,na,N/A,Production/non-production environment separation is operational
I&S-06,Infrastructure Security - I&S,Segmentation and Segregation,Cloud & AI Related,full,tenant; rbac,Segmentation: multi-tenancy (pkg/tenant) with RLS (tenant_rls.go) provides logical segmentation; RBAC enforces access segregation
I&S-07,Infrastructure Security - I&S,Migration to Hosted Environments,Cloud & AI Related,na,N/A,Migration to hosted environments is an operational activity
I&S-08,Infrastructure Security - I&S,Network Architecture Documentation,Cloud & AI Related,na,N/A,Network architecture documentation is operational
I&S-09,Infrastructure Security - I&S,Network Defense,Cloud & AI Related,partial,scanner; mcp_guardrails; anomaly,"Network defense: 216 detection patterns (pkg/scanner/patterns.go), guardrails (pkg/mcpserver/guardrails.go), and anomaly detection (pkg/anomaly/entropy.go, pkg/anomaly/frequency.go, pkg/anomaly/scorer.go) provide network-level threat defense for AI traffic."
LOG-01,Logging and Monitoring - LOG,Logging and Monitoring Policy and Procedures,Cloud & AI Related,partial,logging; audit,"Logging policy enforced through RFC 5424 syslog (pkg/logging/rfc5424.go) and audit trail (pkg/audit/handler.go); AegisGate implements technical logging, not organizational logging policy. All security events logged with structured data fields."
LOG-02,Logging and Monitoring - LOG,Audit Logs Protection,Cloud & AI Related,full,audit; attestation,Audit logs protection: audit trail with attestation envelopes (tamper-evident); legal hold (pkg/legalhold) prevents log deletion
LOG-03,Logging and Monitoring - LOG,Security Monitoring and Alerting,Cloud & AI Related,full,anomaly; incident; soar,"Security monitoring and alerting: anomaly detection (pkg/anomaly/entropy.go, pkg/anomaly/frequency.go, pkg/anomaly/scorer.go, pkg/anomaly/tokenizer.go), incident engine (pkg/incident/engine.go), SOAR (pkg/soar/soar.go) provide real-time monitoring and automated alerting."
LOG-04,Logging and Monitoring - LOG,Audit Logs Access and Accountability,Cloud & AI Related,full,audit; rbac,"Audit logs access and accountability: RBAC (pkg/rbac/manager.go) restricts audit log access; audit trail (pkg/audit/handler.go — search, event lookup, user timelines) records who accessed what; all access attempts logged with SourceIP and user identity."
LOG-05,Logging and Monitoring - LOG,Audit Logs Monitoring and Response,Cloud & AI Related,full,incident; soar,Audit logs monitoring and response: incident engine (pkg/incident/engine.go) and SOAR (pkg/soar/soar.go) process audit events and trigger automated responses; incident rules (pkg/incident/rules.go) triage events; compliance mapping (pkg/incident/compliance_mapping.go) links to frameworks.
LOG-06,Logging and Monitoring - LOG,Clock Synchronization,Cloud & AI Related,na,N/A,Clock synchronization (NTP) is an infrastructure control
LOG-07,Logging and Monitoring - LOG,Logging Scope,Cloud & AI Related,full,audit; logging; scanner,Logging scope: RFC 5424 syslog (pkg/logging/rfc5424.go) covers all AI protocol traffic (MCP/A2A/ACP/ANP/HTTP); detection scanner (pkg/scanner/scanner.go) logs all scanned requests/responses; response guard (pkg/response/guard.go) logs all output scanning results.
LOG-08,Logging and Monitoring - LOG,Audit Logs Sanitization,Cloud & AI Related,partial,response_guard; redactor,Audit logs sanitization: response guard (pkg/response/guard.go) redacts PII/secrets from logged content via redactor (pkg/response/redactor.go); PII scanner (pkg/response/pii_scanner.go) and secret detector (pkg/response/secret_detector.go) identify sensitive data before logging.
LOG-09,Logging and Monitoring - LOG,Log Records,Cloud & AI Related,full,logging; audit,"Log records: RFC 5424 compliant structured logs (pkg/logging/rfc5424.go — structured data fields); audit trail (pkg/audit/handler.go) records all security decisions; Event struct (pkg/logging/types.go — Type, Action, Severity, Message, ThreatType, Pattern, ComplianceFramework, FrameworkRefs)."
LOG-10,Logging and Monitoring - LOG,Audit Records Protection,Cloud & AI Related,full,audit; attestation; legalhold,"Audit records protection: attestation envelopes (pkg/attestation/attestation.go — cryptographic, tamper-evident), legal hold (pkg/legalhold/legalhold.go — deletion prevention), RBAC access control (pkg/rbac/manager.go) protect audit records from tampering."
LOG-11,Logging and Monitoring - LOG,Encryption Monitoring and Reporting,Cloud & AI Related,partial,audit; evidence,"Encryption monitoring: audit trail (pkg/audit/handler.go) records encryption-related events (signature verification, attestation); evidence collection (pkg/evidence/builder.go) documents encryption status; attestation envelopes (pkg/attestation/attestation.go) provide cryptographic evidence."
LOG-12,Logging and Monitoring - LOG,Transaction/Activity Logging,Cloud & AI Related,full,audit; logging; scanner,"Transaction/activity logging: every AI request and response logged with full audit trail (pkg/logging/types.go — Event with Time, ID, Type, Action, Severity, Message, SourceIP, ThreatType, Pattern, ComplianceFramework, FrameworkRefs); RFC 5424 syslog (pkg/logging/rfc5424.go) for SIEM integration."
LOG-13,Logging and Monitoring - LOG,Access Control Logs,Cloud-Specific,full,audit; rbac,"Access control logs: RBAC decisions (pkg/rbac/manager.go) logged in audit trail (pkg/audit/handler.go); all access attempts (allowed/denied) recorded with user identity, role, SourceIP, and timestamp (pkg/logging/types.go — Event struct)."
LOG-14,Logging and Monitoring - LOG,Failures and Anomalies Reporting,Cloud & AI Related,full,anomaly; incident; logging,"Failures and anomalies reporting: anomaly detection (pkg/anomaly/scorer.go, pkg/anomaly/entropy.go, pkg/anomaly/frequency.go) identifies failures; incident engine (pkg/incident/engine.go) reports anomalies; SOAR (pkg/soar/soar.go) triggers automated responses."
LOG-15,Logging and Monitoring - LOG,Input Monitoring,AI-Specific,full,scanner; ml; atlas; logging,"Input monitoring: L1 216 regex patterns (pkg/scanner/patterns.go) + L2 ATLAS (pkg/atlas/detector.go) + L3 ML classifier (pkg/ml/detector.go — CharCNN-BiLSTM, ONNX) monitor all AI inputs; results logged with RFC 5424 syslog (pkg/logging/rfc5424.go) and FrameworkRefCache (pkg/logging/framework_refs.go)."
LOG-16,Logging and Monitoring - LOG,Output Monitoring,AI-Specific,full,response_guard; logging,"Output monitoring: response guard (pkg/response/guard.go — PII/secrets/toxicity/hallucination/token limiter) monitors all AI outputs; results logged with RFC 5424 syslog (pkg/logging/rfc5424.go); Event struct (pkg/logging/types.go) records ThreatType, Pattern, Severity."
MDS-01,Model Security - MDS,Training Pipeline Security,Cloud & AI Related,partial,scanner; mcp_guardrails,"Training pipeline security: proxy (pkg/scanner/scanner.go) can inspect training data flows if traffic routes through proxy; guardrails (pkg/mcpserver/guardrails.go) protect against injection during fine-tuning. AegisGate operates at inference time, not training time — this is not the primary use case."
MDS-02,Model Security - MDS,Model Artifact Scanning,AI-Specific,full,aibom; sigverify,Model artifact scanning: AIBOM (pkg/aibom/generator.go) enumerates model components with SHA-256 hashes; signature verification (pkg/signature_verification/mcp_verifier.go) scans for unauthorized model artifacts; attestation (pkg/attestation/attestation.go) validates model identity.
MDS-03,Model Security - MDS,Model Documentation,AI-Specific,full,aibom; evidence,"AIBOM generates CycloneDX 1.6-compliant model documentation (pkg/aibom/generator.go — provider, model ID, version, type ""machine-learning-model""). Generator handles model components when registered. v0.1: model registration is operator-supplied; v0.2 will auto-discover from config."
MDS-04,Model Security - MDS,Model Documentation Requirements,AI-Specific,full,aibom; evidence,"AIBOM includes model type, provider, model ID, version (pkg/aibom/types.go — ModelComponent struct), and SHA-256 hashes for prompts and RAG corpora (pkg/aibom/generator.go). All fields are CycloneDX 1.6 compliant. v0.1: model/prompts/corpora require explicit registration; v0.2 will wire to live config."
MDS-05,Model Security - MDS,Model Documentation Validation,AI-Specific,partial,aibom; attestation,"Model documentation validation: attestation envelopes (pkg/attestation/attestation.go — tamper-evident) verify documentation integrity; AIBOM verify.go (pkg/aibom/verify.go — VerifyEnvelope, VerifyEnvelopeJSON) validates signed BOM documents."
MDS-06,Model Security - MDS,Adversarial Attack Analysis,AI-Specific,full,ml_adversarial; atlas; scanner,"Adversarial attack analysis: PGD/FGSM adversarial testing (pkg/ml/adversarial.go), ATLAS threat detection, 216 detection patterns analyze adversarial attacks"
MDS-07,Model Security - MDS,Robustness against Adversarial Attack / Model Hardening,AI-Specific,full,ml_adversarial; ml; scanner,Model hardening: adversarial robustness testing validates model resilience; evasion resistance tests (pkg/ml/evasion_resistance.go) harden detection
MDS-08,Model Security - MDS,Model Integrity Checks,AI-Specific,full,attestation; aibom; sigverify,"Model integrity: attestation envelopes (pkg/attestation/attestation.go — tamper-evident, ECDSA P-256 signed), AIBOM signing (pkg/aibom/sign.go), MCP signature verification (pkg/signature_verification/mcp_verifier.go) ensure model and component integrity."
MDS-09,Model Security - MDS,Model Signing/Ownership Verification,Cloud & AI Related,full,attestation; aibom; sigverify,"Model signing/ownership verification: attestation envelopes (pkg/attestation/attestation.go) sign model artifacts with ECDSA P-256; AIBOM includes ownership metadata (pkg/aibom/types.go — issuer, key ID); signature verification (pkg/aibom/verify.go — VerifyEnvelope, VerifyEnvelopeJSON) validates model identity and envelope integrity."
MDS-10,Model Security - MDS,Model Continuous Monitoring,Cloud & AI Related,full,ml_drift; anomaly; incident,"Model continuous monitoring: ML drift detection (pkg/ml/drift.go), anomaly detection, incident engine provide continuous model monitoring"
MDS-11,Model Security - MDS,Model Failure,AI-Specific,partial,incident; soar; anomaly,"Model failure: anomaly detection (pkg/anomaly/scorer.go, pkg/anomaly/entropy.go) identifies model failures; ML drift detection (pkg/ml/drift.go) detects model degradation; incident engine (pkg/incident/engine.go) and SOAR (pkg/soar/soar.go) handle failure response."
MDS-12,Model Security - MDS,Open Model Risk Assessment,AI-Specific,partial,scanner; ml; aibom,"Open model risk assessment: detection pipeline (pkg/scanner/scanner.go, pkg/atlas/detector.go, pkg/ml/detector.go) assesses risks from open models; AIBOM (pkg/aibom/generator.go) documents model provenance; vendor risk (pkg/compliance/vendor_risk.go) evaluates provider security."
MDS-13,Model Security - MDS,Secure Model Format,Cloud & AI Related,partial,sigverify; attestation,"Secure model format: signature verification (pkg/signature_verification/mcp_verifier.go) validates model format integrity; attestation envelopes (pkg/attestation/attestation.go — tamper-evident, ECDSA P-256) protect model artifacts; AIBOM signing (pkg/aibom/sign.go) ensures BOM integrity."
SEF-01,"Security Incident Management, E-Discovery, & Cloud Forensics - SEF",Security Incident Management Policy and Procedures,Cloud & AI Related,partial,incident; soar,"Incident management policy enforced through incident engine (pkg/incident/engine.go) and SOAR (pkg/soar/soar.go); AegisGate implements technical incident response, not organizational policy. Incident rules (pkg/incident/rules.go) and playbooks (pkg/incident/playbooks.go) automate response."
SEF-02,"Security Incident Management, E-Discovery, & Cloud Forensics - SEF",Service Management Policy and Procedures,Cloud & AI Related,na,N/A,Service management policy is organizational
SEF-03,"Security Incident Management, E-Discovery, & Cloud Forensics - SEF",Incident Response Plans,Cloud & AI Related,full,incident; soar,Incident response plans: incident engine (pkg/incident/engine.go) with playbooks (pkg/incident/playbooks.go) implements IR plans
SEF-04,"Security Incident Management, E-Discovery, & Cloud Forensics - SEF",Incident Response Testing,Cloud & AI Related,partial,incident,"Incident response testing: incident engine test suite (pkg/incident/engine_test.go, pkg/incident/rules.go) validates response workflows; playbooks (pkg/incident/playbooks.go) are tested; postgres store tests (pkg/incident/postgres_store_test.go) validate persistence."
SEF-05,"Security Incident Management, E-Discovery, & Cloud Forensics - SEF",Incident Response Metrics,Cloud & AI Related,partial,incident; metrics,"Incident response metrics: incident engine (pkg/incident/engine.go) tracks response times, resolution rates; Prometheus metrics (pkg/metrics/metrics.go — aegisgate_ prefixed) provide operational metrics; compliance reports (pkg/compliance/mapping/report.go) document incident metrics."
SEF-06,"Security Incident Management, E-Discovery, & Cloud Forensics - SEF",Event Triage Processes,Cloud & AI Related,full,incident; anomaly; scanner,Event triage: incident engine rules (pkg/incident/rules.go) triage events; anomaly detection prioritizes; scanner provides event classification
SEF-07,"Security Incident Management, E-Discovery, & Cloud Forensics - SEF",Incident Management and Response,Cloud & AI Related,full,incident; soar; compliance,Incident management and response: incident engine (pkg/incident/engine.go) + SOAR (pkg/soar/soar.go) automate response; incident rules (pkg/incident/rules.go) triage events; playbooks (pkg/incident/playbooks.go) define response procedures; compliance mapping (pkg/incident/compliance_mapping.go) links to frameworks.
SEF-08,"Security Incident Management, E-Discovery, & Cloud Forensics - SEF",Security Breach Notification,Cloud & AI Related,partial,incident; compliance,"Security breach notification: incident engine (pkg/incident/engine.go) can trigger notifications; compliance mapping (pkg/incident/compliance_mapping.go) identifies notification requirements across 31 frameworks (GDPR Art 33, HIPAA Breach Notification Rule, EU AI Act); SOAR (pkg/soar/soar.go) automates notification workflows."
SEF-09,"Security Incident Management, E-Discovery, & Cloud Forensics - SEF",Incident Records Management,Cloud & AI Related,full,incident; audit; legalhold,Incident records management: incident store (pkg/incident/postgres_store.go — PostgreSQL persistence) maintains records; audit trail (pkg/audit/handler.go) provides tamper-evident evidence; legal hold (pkg/legalhold/legalhold.go) preserves incident records for litigation.
SEF-10,"Security Incident Management, E-Discovery, & Cloud Forensics - SEF",Points of Contact Maintenance,Cloud & AI Related,na,N/A,Points of contact maintenance is an administrative function
STA-01,"Supply Chain Management, Transparency, and Accountability - STA",Supply Chain Risk Management Policies and Procedures,Cloud & AI Related,partial,aibom; vendor_risk,Supply chain risk management: AIBOM documents AI supply chain; vendor risk module (pkg/compliance/vendor_risk.go) assesses supplier risks
STA-02,"Supply Chain Management, Transparency, and Accountability - STA",SSRM Policy and Procedures,Cloud & AI Related,partial,vendor_risk; compliance,"SSRM policy: vendor risk management module (pkg/compliance/vendor_risk.go — evaluates data privacy, security posture, compliance, availability, transparency, data residency, model integrity, incident response) supports supplier security risk management; compliance scanning validates supplier controls."
STA-03,"Supply Chain Management, Transparency, and Accountability - STA",SSRM Supply Chain,Cloud & AI Related,partial,aibom; vendor_risk,"SSRM supply chain: AIBOM (pkg/aibom/generator.go — CycloneDX 1.6) enumerates supply chain components (models, RAG corpora, 5 protocol pillars); vendor risk (pkg/compliance/vendor_risk.go) assesses supply chain security across 8 risk dimensions."
STA-04,"Supply Chain Management, Transparency, and Accountability - STA",SSRM Guidance,Cloud & AI Related,na,N/A,SSRM guidance is organizational policy
STA-05,"Supply Chain Management, Transparency, and Accountability - STA",SSRM Control Ownership,Cloud & AI Related,na,N/A,SSRM control ownership is organizational
STA-06,"Supply Chain Management, Transparency, and Accountability - STA",SSRM Documentation Review,Cloud & AI Related,partial,aibom; evidence,SSRM documentation review: AIBOM (pkg/aibom/generator.go) provides supply chain documentation with CycloneDX 1.6 metadata; evidence collection (pkg/evidence/builder.go — ECDSA P-256 signed packages) supports review process with auditor-ready artifacts.
